blog,text
646,Round orb like object traveled N/W  hovering over cerritos california  object was in my view for roughly three min.  it was orange in color. I was able to record 60 sec. of footage from my cell phone.
647,Large Red Orange light in the sky very high  it did not move and suddenly just disappeared.  I thought it could have been a Helicopter from the local Nat.  Guard but it was way too high for a chopper.  I am sure there is an explanation for this but it was nothing like I have ever seen before.
648,while out the back garden having a cigarette looking at fireworks  just after 12  i noticed orange objects moving across the sky  at first 2. i then called my wife out and we seen 2 more  we then went upstairs adnd could see about 9 over the space of about 10 minutes. they moved in a straight line   south i think then just dissappeared.these were not planes as we live near the airport and know the difference. plus we just discovered that dublin airport was closed at the time.
649,My brother  Kris Whittington  Joan – his girlfriend and two of her girlfriends were in Newcastle Kentucky in a corn field with a camp fire.  They were drinking beer and we were all laying back and staring at the sky.  The sky was full of stars more than I had ever seen in the skies over Kentucky – more like I saw when I lived in the west Colorado  Utah  California etc.   Suddenly the stars were blotted out from the sky – total darknes … like a eclipse of the moon and the stars … very odd and then we saw this …. ship? it was less than 300 yards in the air above the ground .  It slowly  silently   purposely moved over us and past us.  My brother and I began to follow it away from our camp on foot.  We were able to keep it in sight for more than 15 minutes and the only reason we stopped was because the three females with us were crying and very frightened.   They begged us not to follow any longer so we stopped.  The next day the radio said it was a Russian satellite crashing thru the atmosphere …. this craft was not crashing and it was methodical in it’s movements.  There was no fire no rocket exhaust no visible proof of any combustion happening anywhere on the surface of the craft and it made no sound and it was very close to the ground . We had a very good view of the craft for a very long time. If you do contact a witness  please be respectful to them. Contact Email of Witness: billyhorsebennington@yahoo.com
650,Nice to see more sightings in Canada.  I live in Sask and in Sept 09 I saw 2 huge white transparent-milky like disks fly over the city.
651,4rth December 2010 Saw the same just one though  above Galway city with 3 others after a dinner party at 20:20 or so  from the Liosbaun estae seemed to come over Tireallan from Bushypark  seemed to rise up slow from behind the hill  going towards Oranmore. My friend captured it on her cameras video mode  poor quality though.  Don’t know what to make of it. My partner saw the same thing before from the balcony but never told me. The friend who captured it on camera told us a guy we both know described witnessing the same event in January over Kinvarra in Co. Galway. Very curious indeed.
652,at around 10 in the evening  i was soaking in my hot tub  when I noticed an object moving in a ballistic fashion towards the east at a high rate of speed  much faster that a commercial airliner  although it appeared to be at a great height. The object crossed two-thirds of the sky then came to a dead stop. It then changed direction 90 degrees to the south  traveled for a second of two and then vanished. I would to hear if anyone else saw it or has an explanation If you do contact a witness  please be respectful to them. Contact Email of Witness: ulyssesmisses@yahoo.com
653,I let my two rottweilers out when I saw red flashing lights. I turned on my porch light and airplanes fly over my house all the time.  It didn’t sound nor look like a plane(believe me  they go over my house twenty times a day  literally). I looked up and saw that it was rounded  red lights going around like carnival game lights. Then  out of no where  another one like it came out.  I got my dogs in as quick as I could  it happened to me at least four times before. My dogs came in as fast as they could for the noise was closer. As they where coming in  I turned off the light and closed the curtains because it was above my house. I locked everything  window  door  vents even.  The vibrating got louder and a burst of light lets it go into space.
654,I  live in Lima  Peru. I am watching Discovery Science Channel right now (March 14th 2010  19:30 hrs)and noticed that they are talking about the strange lights seen over the skies of Kokomo and other places (Texas).  I wish to inform you that my son  his friend and myself saw way up on the sky something that was glowing and sending lights of green  red and white color  similar to the lights of a police car. This happens in a full moon evening in Lima (Northeast direction) at the end of February 2010. It was a clear night and many regular stars could be seen.  Definitively  these lights were not similar to the yellowish or whitish stars (lets say “regular” stars). There were probably two “things”. One relatively closer than the other. Unfortunately  the night became cloudy and lost visibility. Lima sky is usually cloudy. We must wait until the next clear skies (full moon) to see the position where we saw those lights.
655,My husband  Leonardus saw a bright light  also triangular  hanging in the night sky. This was at 3 in the morning. He said that it seemed to change shape and was not a solid triangular shape. It just hovered there for a while then shot off so quickly  he said it could not have been a plane or helicopter. This was on the 3rd January 2011.
656,My husband  son and myself all saw similar lights on Tuesday  April 20th around 9pm from our balcony at the Breakers hotel in Myrtle Beach. We saw 4 orange lights that blinked on and off and then came on all together in a straight line.  The lights disappeared behind a cloud and they did not reappear. About an hour later  my husband and son saw the lights again in a slightly different location again over the ocean  but were unable to get the camera out in time to take a picture.  My sister thought that maybe it was something military as there are a lot of bases in South Carolina but I have NEVER seen anything like this  in my life! Was it a UFO?
657,I captured something with my camera last night over Cambridge  ID. It was a low bright light that appeared to be weaving around. I watched it for 15-20 min. When I was uploading the pictures  I went back a out and it was gone. It looked like it was spinning and pulsating.
658,I was outside smoking like I do every night before bed and I notice this light over a subdivison about a mile or so from my apartment. I was sitting there looking at it and comparing it to other lights in the sky and street lamps for about 2-5 mins while smoking.  before going in I convinced my self it was a helicopter with a spot beam but that still didn’t make sense cause spot beams go all the way to the ground and the lights didn’t go that far in the sky so i got up and leaned on my balcony for a closer look.  As i was looking at it I noticed it had started to move first to the right a little almost unnoticeable and then back then it started moving in my direction and flew just to the left of my building.  I pulled out my phone to get a pic as it was getting closer but thought it was moving to fast to get a belivable pic i leaned over my balcony to get a better look as it was getting closer i heard a sound kinda like an airplane but alot quieter and i got a pretty good glimpse of the shape it was circular with 2 lights coming out of the bottom and flashing lights on the side with a circular like cockpit looking thing coming out the top and it glided across the sky with so much speed and ease.
659,There was a pulsating blue orb in the sky  it was stationary at first  then after a few seconds it made a figure 8 motion like an infinity symbol motion. It stopped for a second and then took off eastward and faded away. If you do contact a witness  please be respectful to them. Contact Email of Witness: tonyandcarmela@yahoo.com
660,Sitting in my girlfriends front room when she exclaimed “What the fuck is that in the sky”? Looking up i saw two very bright orange lights moving at a a very quick pace. About 5 minutes later another bright orange light flew in exactly the same direction as the previous two  this time i opened the window to listen but the object did not omit a sound. Very  very strange sighting. This is the 1st time i’ve seen anything like it.
661,AT midnight 09/10 i lay in bed watching tv the fireworks going off in the next road over drew my attention to look towards the window. I notice a small light in the sky thinking it was aircraft  i looked away again.  On looking back seeing a second light behind i thought these planes are to close getting out of bed i could not see any port or starboard lights  from just after midnight until 1 o’clock i and my wife counted over 30 pass from east to west somtimes in twos &threes somtime in fives or more. sky clear full moon
662,Objects have been seen by myself & my husband throughout December 2009  occasionally hovering under venus. Tonight 31/12/2009 we have seen three or four at different times during the evening  flying north to south before silently disappearing to the west possibly circling below venus.
663,i was driving north on the garden state parkwak when all of a sudden this light appears in the sky heading west. It wasn’t blinking like an airplane and was very bright.  almost like a falling star. it appeared in the middle of the sky and i watched it until it got lost behind the trees
664,This is actually happing right now  Im at work I went outside to take a smoke break  I just happend to look up and seen this smoke type cloud thing but it was bright but not to bright.   I didnt think anything of it  but as I stood there for a couple more seconds I noticed all of the red  white and orange-ish lights.  First the red in all different sizes blinking fast then slow blinking white and orange-ish ones.  It kinda of seems like its hovering in the cloud type thing.  It has been there for at least an hour and a half. I tried taking a pic but all I have is my phone and it doesnt do it justice.
665,Me and my friend was just leaving a friends. he pointed up in the sky and said look at that. was a round ship with red lights on the outlining of the ship with a blue light in the middle moving like led lights. i have seen 2 other sightings for my own eyes……this sighting how ever was by far the most closest i have seen one. Everytihng the federation of light is saying is real and is happening. I am just a dj from the southwest uk who other the last year has experienced to many “wierd coincedence’s and sightings to feel that its not true. If you do contact a witness  please be respectful to them. Contact Email of Witness: thedonage@hotmail.co.uk
666,Dog woke me at 5:45am this morning. As I was getting out of bed I glanced outside and spotted a low flying object moving slowly across the sky.  I opened the window and listened for a sound and to get a clearer image. I heard a low rotating hum and there were 3 prongs or legs hanging down from the object wtih various colors lights all 3 legs.  The lights weren’t flashing lights but stationary. I couldn’t make out the top portion of the object because it was wasn’t completely lighted. The object continue to move southward at a slow rate of speed.  By the time I jumped into my car to follow it. I lost it. The object itself was only about 2 footballs fields away from me. It was exciting. If you do contact a witness  please be respectful to them. Contact Email of Witness: boy59@comcast.net
667,Saw one light just appear as was looking into night sky at 7:30pm then another light appeared and a second latter another  they moved very slowly to the north – northwest until disappearing over Everglades.There was reports from meterologists about meteor showers this time of year so maybe this accounted for what I saw but I dont no it was Strange. #) minutes latter out of the exact area it reoccurred again and the pattern continued and that was the end of it for the night. If you do contact a witness  please be respectful to them. Contact Email of Witness: eallogg@aol.com
668,Pulling in the parking lot of a resturant and my girlfriend and i both saw the U.F.O fall in the sky…..we were both shocked and unsure of what we had seen…we have both seen shooting stars befor and this was far from one.. If you do contact a witness  please be respectful to them. Contact Email of Witness: judeka1010@yahoo.com
669,1st sighting was a white/red object traveling  fast west to east with a slight orange tail trailing it vanished seconds later.2nd object traveling north to south  first looked like a satilite but was very bright after watching it for about 15 seconds it vanished!the sky was crystal clear no clouds in the area!never reappeared.
670,November 12  2010  1:57am In Vermilion  Ohio was a crystal clear sky. I was looking all over the sky on my buddy’s front porch admiring the stars.  Looking towards Lake Eire(north sky) I witness A round orange pulsating light heading towards me(south east)and thought at first it might of been a plane of some sort  but then realized a plane wouldn’t be pulsating and be a bright orange round shape.  Then it went west for about 15seconds  at a moments notice it traveled north west and it was dimming out and getting smaller and then disappeared. I sat there in disbelief.  I started to look in every direction and could find anything  approximately 10 mins i thought i seen something shoot down off my right eye from the sky going down i could tell what it was but think i t was a shooting star.  then approximatively 7 mins later i seen the orange round pulsating lights again  but this time It was a lil larger came exactly the same direction I got freaked out and ran into my buddy’s house and woke him up and told him i seen strange orange round lights over Lake Eire then told him to come outside he jumped out of bed and come out and the orange round pulsating light was traveling west then went north west and dimmed out and got smaller and disappeared.  We were both kinda weirded out. It was hard for me to sleep. I didn’t want to go outside and do any feather more instigation.
671,I was driving on my way to work and I looked in the sky and seen 3 lights  in a triangular shape. They were bright lights  and then they shot down towards the city of Denver  they stopped  the bottom one shoots South  like a shooting star  i blinked and it was gone.  The other 2  sit there for about 10 seconds  then far to the right  there were 3 little dots (looked like Jets  not passenger airplane) the top one shoots East really fast  like the first one(like a blink of an eye) jet-lookin things come closer  and the last one shoots South  again. There was nothing left  but 3 jets in the sky. If you do contact a witness  please be respectful to them. Contact Email of Witness: mikeswife81805@yahoo.com
672,It was 9 pm I was my mother and the girl who rented room on the third floor of my house then we started to see a picture in the sky began to discuss and we realized it was not a plane because a plane is not clear can be static than 2 hours long and was filmed there but then I thought my phone had run out of battery … Well that’s all I’ve seen before such objects but not so characteristic way like that because that redounded color … See you If you do contact a witness  please be respectful to them. Contact Email of Witness: xinito444@hotmail.com
673,We were driving back from the movie store  when i looked to my right  I saw a huge Disc in the air moving down behind the mountain like it was going to land. Both my sister and my mom saw it. If you do contact a witness  please be respectful to them. Contact Email of Witness: rileylm32@hotmail.com
674,Hello  I have recently had an encounter of something I cannot make heads nor tails of why it happened. I live in an affluent area of Leeds  England  where both my separated parents live since 1989 and nothing has happened like it. I suppose it is unusual anywhere let alone where I live! My parents live close together and I often walk from one house to another for some reason or other. I have to pass through a small field behind a primary school to get to each house. One evening at about 11.45pm on Thursday  September 10th  I was walking through the field and saw a large abnormal lump about 15 feet tall and 2 figures moving or shuffling around it in the corner of the field.  There was no lights from what I later find out was a UFO  and since I had my iPod on I was surprised to find that I could hear and feel a low and metallic humming coming from the direction of the UFO. There is no other major lighting to see what was happening except the street lights from the streets nearby but it was still very dark. So I couldn’t make out much of what was happening as I was about 100ft away. I took off my headphones and turned off my iPod  I quickly moved myself to the nearest wall in the hope that the figures did not notice me. By the time I reached the wall I suddenly noticed that a figure that was about 6’3” tall with jet black skin had heading to my direction and was quite close. It surprised and scared me as I swear it had been 100ft away only seconds before and had appeared near me with speed. The first impressions of the alien I had was its dark skin but also its head  it had light coloured eyes that were large  significant and weirdly shaped ears that were folded back and I swear it had some sort of braided hair that looked slightly singed on one side. It spotted me and the alien dragged me about 40-50ft towards the UFO where we met the other alien that was left at the UFO. I was extremely scared by this point and could hardly stand up; I was staring at each alien as they ‘spoke’ to each other. I could not understand a thing they said and I suddenly notice a small light come from the UFO. I could make out that it seemed to be some sort of small shuttle as it was not very large. It had a door  which was open  and seemed like a slightly squashed ball. The green light came from inside the door. As the UFO was seemingly on its side I later assumed they must have crashed. However there were no holes or dirt flown around the area as I might have expected. The only reason I can see is that they were flying just above the ground and not that fast. As I was not putting up any fight and the aliens seemed to talk quite frantically the alien who found me let go of me arm and went to the ground as could not support myself under my panic. Out of this panic I felt the urge to run as fast as I could to the alleyway that was quite nearby. I did not think of how fast the aliens could go I just wanted to run. The aliens must have thought I was not worth chasing and exposing themselves to the local residents as I managed to get to my father’s house without a chase. Since then I have told nobody in fear of ridicule and risking mass panic by the neighbours in the area I live. Please tell me who I should talk to or what to do as do not have any idea of what to do next.
675,Me  my stepdad and his brother walked out side and they saw a very  very bright light in the sky and called me to get my telescope  i got binoculars though. we were looking on as it moved up  down  left  right  and made U-turns  and 360-turns. it is still in the sky now.
676,I was on my way to work and spotted a large reflective metallic object falling from a very high altitude east of Fargo.  I would have thought this was a weather balloon except that it appeared very large and was leaving a white jet trail behind it as it spiraled downward.   This did not look like any jet  military  or research object I have seen before.
677,just groups scattered between 55 75 ships If you do contact a witness  please be respectful to them. Contact Email of Witness: joehanson28@yahoo.com
678,there ws an orange light in the sky. it looked like someone had turned on a large spot light from the sky.  then many smaller white blinking lights moved away from the orange light and faned out moving fast away from it. the orange light blinked out.  the white lights traveled all over the sky. we watched for about 30 min. then the orange light came back on in the same place it was before. several blinking white came to it from different directions.  the orange light went  so did some of the white lights. some of the blinking white lights moved back out into the sky. they went all over the sky.  we watched several head north west and went to the back yard to see better. there were more already there. north and west. they were very high up and moving very  very fast.  some would go up really high then just stop and stay there for awhile then move down  but at an angle. they were everywhere. we went back to the front. still white blinking lights but not as many.  then we saw and heard two air force jets come in high from the north heading east toward three blinking white lights.  they then turned south  the blinking lights followed them south untill we could no longer see or here the jets. the blinking lights stopped  stayed in placed for a few seconds then one went up and the other two went north  back toward where the orange light had been.  lots of the blinking lights went back  thoughout this whole thing  to where the orange light had been. the orange light never came back on. other air force jet were out in the sky in the back yard (west).  we could tell the difference by the way they look move and did not blink. i have never seen anything like these blinking white lights or the large orange one that never moved  not even in the movies.  the way they moved in the sky  there speed and stopping  staying in one place then move in another direction was not normal.  if this was all air force then they have some really impressive moves they’ve been hiding… If you do contact a witness  please be respectful to them. Contact Email of Witness: cathy52758@yahoo.com
679,Myself and two other people I was with saw two bright “star like” lights  and they were following quite close  flying horizontally. They didn’t stray from their straight formation. They were fairly low in the sky  but they definitely were not planes  or satellites.. The lights didn’t flicker or flash  just remained solid white (or yellowish).  They were completely silent and seemed to disappear instantly  not fade out in the distance. Saw them around 6:30pm on 11/26/09 in Lake Havasu City AZ
680,Saw a disc like something not sure while it was in fluorescent yellow color later disappeared later appeared then blinked like a star remained stationary for long time with red and blue color looked similar to star but definitely not a star as it constantly change position in south sky If you do contact a witness  please be respectful to them. Contact Email of Witness: krish_bugsy@yahoo.co.in
681,I WAS WALKING ON SKILLMAN AVE AND 50TH STREET ABOUT 2:30 AM GOING HOME AND I LOOKED UP AND IT WAS MOVING VERY SLOWLY  I STOOD THERE FOR ABOUT 45 SECONDS AND IT STARTED TO MOVE FASTER  AS I BLINKED I SEEN A PART OF IT COME APART AND THE LOOKED LIKE A RED PROBE  AND THEN IT JUST VANISHED. IM HAVE BEEN SEEING THEM FOR YEARS AND I EVEN HAVE PHOTOS OF A SIGHTING I SEEN BACK IN 95. If you do contact a witness  please be respectful to them. Contact Email of Witness: PINKFLOYD0412@YAHOO.COM
682,When I was a child I saw a silver flying saucer hover over my neighbor’s house in Fall River  MA in August 1978. It was in the paper Fall River Herald News teh next day. Other people in teh area had seen it and one plane almost hit the UFO near Provincetown MA. If you do contact a witness  please be respectful to them. Contact Email of Witness: ainemitchell@hotmail.com
683,On Wednesday (12-29-10)  at around 10:30pm in southern York PA (locally known as Leaders Heights PA) I witnessed a bright orange light moving slowly across the sky.   There was no sound  the light appeared to be comparable in strength to that of a single car light from about 750 feet away  it was steady with no blinking  was around 1-2 miles away  and moved across the sky at a speed and altitude similar to that of a helicopter.   It paused once  moved forward  then eventually stopped.  After about 15 seconds it appeared to move up into the upper atmosphere as the light slowly become smaller and smaller until it wasn’t any brighter than the neighboring stars before disappearing.   A high altitude jet appeared in the same part of the sky seconds before the light began moving into the upper atmosphere.  It took about 10seconds for light to disappear once it started shrinking.  Even though the jet was most likely several miles higher in the sky  I could hear the jet!  What did I see?
684,These were seen by myself & a co-worker. She lives about 30 miles northwest from me. We saw them the same time. They were 2 orange lights in the west sky-slightly north. One was about slightly higher than the other.
685,The first one looked like a plane at first  but the proportions were impossible (it almost formed a triangle)  and there was a series of four large -the most noticeable part of it- spotlights on the bottom.  It looked like it was on fire at first. The second one really did look like a triangle  but the same large spotlights. Both moved very slowly  and then were no longer in sight.  The third one was too far away to determine what shape it was  but it was bright  and moved very quickly. It stopped  not moving  and stayed for several minutes  then I was not able to see it. Two other witnesses were there for all three sightings.
686,This was seen over Weston  FL at 10:17pm on November 14  2009:  Large gray/black triangular object.  It may have a total of 10 orbs within the triangle. The orbs never changed shape or position and had no lights but had a certain glow to it. Crossfield of view was about 8 seconds. The object was totally silent and its path was 5-10 degrees W of N to 5-10 degrees East of S. If you do contact a witness  please be respectful to them. Contact Email of Witness: stargazer33327@yahoo.com
687,I’ve never had an experience like this before. We were on our way to get married! A long weekend with friends and relatives.  Just the two of us were driving an SUV from Portland Airport to Boothbay Harbor Maine  I forget if it was the 15th or 16th of September. It was 2008. It was 12a.m. or later!  We were driving on the highway  nooone else was around. We were talking  singing along with the radio. My now husband was driving the suv. I was looking out the window of the passengers side and above us  to the right—but really above us  I saw: A LARGE— all I can describe it as is “under carriage of a football field” oval shaped ship. It was lit up! I said “holy x!%$%$%$ holy !%$@%@%@%@” several times. I looked for a logical explanation  like…was I just seeing a reflection of the stereo or our belongings in the window….BUT NO! It was really there. My husband kept driving  and the “ship” seemed to go off into the trees  by a field off the highway—but we kept driving and didn’t decide to turn back and investigate! My breath was taken away and to this day I can’t stop thinking about it. Who knows what is was!!?!?!?!?! I keep researching online to see if anyone else reported anything!?
688,I woke up at 4 am because I was not feeling well; turns out I had a bout of food poisoning. But it had just snowed and the sky/clouds were unusually illuminated and that caught my attention. I had gone downstairs to drink some herbal tea to calm my stomach and also noticed my cat continuously looking out the direction of our LR windows.  She was sitting next to me on the coffee table and I noticed her watching something (again) out of the window. I quickly turned around as I was facing opposite our windows in LR when I saw a very fast flash of bright white light  like a laser  go from east to west low in the horizon in front of our home.  After that  came another white light flashing by very quickly but very bright  followed by a red light of the same nature. I called upstairs for my husband to see if he was awake and told him I was seeing some strange lights. I then saw the roof of the neighbors house adjacent to ours light up in a bright circled area. I got up quickly to look as I thought maybe they had woken and turned on some outside lights.  By the time I had walked to the window  the light was gone. By then my husband had gotten up and was looking out of the bedroom windows but saw nothing. I have never seen anything like this before and am wondering if anyone else in the Sedona area may have seen some strange lights on 2/27/11.
689,It was two square shaped objects in the sky sitting there for about 15 min then suddenly vanished.
690,I was about 10 playing in the front yard  across the street was a church  I saw a huge “cigar shaped” object hovering above the church.  I turned around to see if anyone else was looking at it  turned back around  and it was gone.  I’ll never forget it. The next day there were several jets flying very lower over the area.  I have no memory of anypart of my life prior to that experience.  I was a police officer in Nebraska from 1974 to 1996 & have no reason to make this up. thanks
691,they were all in the shape of a triangle  but kept changing position in the sky and they kept flickering then eventually you could see them getting further and further away. If you do contact a witness  please be respectful to them. Contact Email of Witness: kimmieg@hotmail.co.uk
692,at about 6:20 pm saw two lines of lights coming up over the treeline.  4 lights in each line with one in the center.   These came up from exactly where airplanes normally come over the treeline when taking off from Detroit airport.  These were not airplanes as they stayed there for over 20 minutes and then just disappeared.   After that ever few minutes three would come up in a diamond formations  would stay still for up to five minutes and then one by on peel off and disappear.   Often one would leave and another would take it’s place.  These were not airplanes as they also stayed in place for up to five minutes.  This went on for over an hour.   Then there was one that would come straight up  linger for a few minutes and then lower while another came up in it’s place.  I watch the airplanes take off from Detroit all the time and these were not airplanes.   At first I thought they were copters and the airport had had a disaster but they did not fly around at all – they just stayed basically in one place – a trapezoid shape with a diamond on top.  Also there were no problems at the airport and no accidents reported that would have commanded that many copters.  It was an amazingly bright display of lights.   I had immediately called my 21 year old son downstairs and when he saw them he said  “Finally – someone else has finally seen them”.   He said that he had seen the lights a few times but by the time my husband or I got around to coming in to look they would be gone.   He had never seen them come up in the straight line formation though – he had seen the trapezoids and triangles after they were there and they only stayed for a couple minutes. Also  there was absolutely no sound and I believe that there were no airplanes taking off or landing while they were there.
693,Three red lights VERY close together. Shaped in a triangle. They did not move  yet one would fade in and out.  Red light would go away and come right back in the exact location. A friend was driving on interstate  she noticed them as well. Said they were triangular with white light in center. If you do contact a witness  please be respectful to them. Contact Email of Witness: cherryblossom2023@yahoo.com
694,I was standing on the sidewalk visiting with a friend about 10 to 11:30  not exactly sure of the hour.  Suddenly  the hair on the back of my neck went up and I looked up and almost directly above us was a large triangular shaped object  flat on the underside.  I remember some white lights  but can’t really say much about how they were situated.  It was right about roof level of my house and directly moving above me  very slowly. The only sound was a low whishing sound. If you do contact a witness  please be respectful to them. Contact Email of Witness: hotglasshabit@yahoo.com
695,I was driving home  headed west on I-640 and passing the Knoxville Center Mall exit when I saw something above the trees to the left of the interstate.  I first thought this might be an airplane since it seemed to be in the direction of the airport  but then I realized it was moving.  As I came closer to the object I noticed its triangular shape and as I drove past it was able to see the three white lights and one red light on the bottom. I wish I had pulled off the interstate to take a picture!
696,Was bright light sitting above hilltop that burst straight up in the sky and within 2 seconds was out of sight. If you do contact a witness  please be respectful to them. Contact Email of Witness: deedee61299@hotmail.com
697,i was staying up late i started to see blue lights flashing out of my window and i saw this object with red and green lights travel it soon disappeared in trees i was like what the and i kept staring and another one appeared this one was slightly bigger and it again disappeared into the trees and then another one appeared and this one came towards my house and it got bigger and bigger and i was scared so i got out the window this one was the size of a huge moon then i look out all my windows it was not there
698,Traveling north on I-45 I and a friend saw a neon green sphere shoot across sky with a neon green trail. Object was visible for about 3 seconds and then suddenly disappeared. There was traffic when i was driving from the bike fest so some other people must’ve seen.
699,I was driving home about 9:15  10-29  I saw lights appear in the sky as I was leaving my sister a voicemail and described everything via voicemail to her. One light after another appeared in what seemed like 2-3 second intervals. There was about 5-8 lights  I was trying to watch the road  they came on in intervals  but disappeared all at the same time. My eyes hurt afterwards and had a migraine  I had to leave work early on the 30th because my head hurt still. I drove past the next day and there was nothing there. If you do contact a witness  please be respectful to them. Contact Email of Witness: luftgirl@gmail.com
700,two orange balls of light- no sound – quite low easy to see with the eye- friends saw them the night before in intake. what are they anyone – see loads of times over doncaster…. seen by a whole group of people and neighbours…
701,It was moving very fast  much faster than a plane. Could be oval or triangle with a glow around it and it disappeared into the clouds.
702,I couldn’t sleep and realized I forgot to take out the garbage. I walked the garbage outside and while walking back to my garage  I saw a large  I mean huge!  triangular object(it was blocking out the stars) on its furthest points there was stobing bright bright blue lights.  Almost white(like xenon headlights) it was very low. The night sky was bright and clear. I was freaked and hurried back to the house. Oh  there was no sound at all. I waited to get the courage up to look again which was about 1 hour later  it was gone. I told my husband and he just looked at me. His eyes spoke as if to say “my wife is crazy”
703,I live in a rural area of Ohio and this is definitely not a common occurrence. I was driving home with my two younger brothers on the night of 10/29/09 and the time was approximately 9:15 pm. or 21:15  Eastern Time  and as I turned onto my street  I looked up in the sky and saw 8 spheres of light.  I slammed on my breaks and just stared at them trying to figure out exactly what it was that I was looking at.  I had never seen anything like it before in my entire life. The lights were white with a yellow tint to them and were in a perfect line with one another.  There were no distortions or imperfections to the spheres at all  only a small halo of light surrounding each one.  They were spaced out evenly and had the appearance of having a curvature formation to them like a saucer or the such.  They also were approximately 17 to 20 times greater in size than the largest star that was near the lights (in the night sky).  The lights were approximately 45 degrees to the horizon in the southeast direction from my position where I was stopped in the road.  I would say that the lights were about half a mile away from where I was.  The lights were near my family’s property and were a ways up in the sky too. Then  just as suddenly as I had seen them  the lights started to go out one by one.  There was a bit of rotation to them as they went out.  I tried to see where they had gone  but there was nothing in the sky.  The only visible objects were a couple of far-off airplanes  the moon  the stars  and clouds.  There were no smoke trails as from a bottle-rocket or other firework product. There was absolutely nothing left after the lights disappeared. I drove around on the back roads for about ten minutes looking for firework trails or an aircraft or anything to explain the situation.  I also kept looking in the same spot where I had seen the lights  but nothing appeared there again.  I finally went home and stood outside for around twenty minutes looking for anything that may be an answer to this phenomenon.  I never saw the lights or anything that even resembled them again. If you do contact a witness  please be respectful to them. Contact Email of Witness: katamari1357@gmail.com
704,About 9pm  my wife and I were leaving our house. As I walked outside  Out of the corner of my eye  I saw a collection of very bright stars out of the corner of my eye.  As I walked past a tree which obscured my view for a few seconds  my wife commented on seeing something in the eastern sky. I turned and looked to see several very bright ‘stars’ in the sky  in a cluster.  It looked as if it were a constellation. As we continued to look  we noticed they were slowly moving. My wife began counting them  I began to video with my iphone (which show nothing upon viewing).  They were dispursing in a south/southeast direction. My wife counted over thirty. In about a 1.5 to 2 minutes  they slowly faded away. Not uniformly  but each one faded away in it’s own time.  Very strange. Still can’t figure out what it was. If you do contact a witness  please be respectful to them. Contact Email of Witness: mickyj09@gmail.com
705,I was in my home and could heard a loud vibrating sound and looked out my window expecting to see some sort of vehicle in my private driveway but spotted spinning red and blue lights above the trees about a 1/4 mile out. Continued to watch and the object(still loud vibrating noise) hovered back and forth and slightly up and down before slowly descending and landing in the woods.  Could no longer hear the vibrating sound. It was in the pitch black of night and there are hundreds of acres of woods where it landed.
706,While standing in front of my kitchen window washing dishes I looked out and noticed what appeared to be a bright star.  As I continued to wash the dishes I would look up into the window during one of my looks I noticed what I thought had been a star flash red and white light.  After a period of time the lights appear to dim and then get bright. After 4 minutes of watching this light I noticed it was moving and was able to confirm my the tree lines.  I then ran outside and sure enough it was really moving and really bright. I ran to the door and called for my mother to view and confirm what I was seeing.  The ball of light glided across a field into a backyard of someones house. At this time there was no noise at all and as normal car where passing by and no one stopped or I guess took notice.  After 2 minutes or so we went back in the house and I attempted to continue to wash the remaining dishes when I looked up again and this bright light reappear directly in front of the open field and went out.  I never saw it again. My house sits in front of a open field and across the open field is a tree line that is part of a subdivision (The Country Estates  I think).  I am wondering if anyone else saw this as well or maybe if the light moving was visible from highway 70?
707,started off as 7 circular reddish lights in sky.. no sound  no flashing  too far away to determine exactly what they were  close enough to know it wasn’t helicopters  planes  weather balloons  hot air balloons etc.. disappearing one by one.. total sighting time  about 2 minutes…moving slowly the entire time 
708,I do not know why I am motivated to report this after many years. Some years back. I am positive it was 2003  I saw a triangle UFO flying low when I got off work at around 9pm. I followed it and funny thing is it moved right over my apartment.  I lived in a 3 story building and it was maybe 10 feet or so higher. It was moving slow  had lights going down each side on the underside to where the lights formed a “V” pattern. It was low enough that I can see the light of the lights reflecting off the metal of the craft.  Funny thing about the whole experience is that it made no detectable sound despite it being so low in the sky. I got out of my car as i watched it slowly move behind my building and out of sight.  It was flying way too low to be an aircraft. i was able to see the direct metal of the ship it was that low. I was not scared. I had quite a few sightings in my lifetime  my mother actually claims to be an abductee  but this story sticks out the most.
709,hello my name is chelsea and I didnt beleave in other known living beings out there. One lonly night I was in the living room near the big window and i looked up at the moon and saw it just siting in the way of the full moon view.After about 20 sec. it was gone and flew rigth back again with like 4 others following it. There where no ligths or anything the only way I could tell it was there was from the moon light. AND I LIVE IN THE MIDDLE OF NO WHERE!!!!!!!!!!??????????
710,At approx. 5:30 AM I was getting newspaper from driveway I looked up and saw a triangle of 3 red dots with a fourth dot in the lead heading what appeared to be slow ENE. I watched till they vanished from site. I hope others may have seen this sighting.
711,I was waiting outside for my associates to finish eating. I was listening to my iPod and something told me to look up to my right in the sky. Judging what Ive seen on tv I did wanna tell anyone or tell someone to “look at that” because I didn’t quite know what it was. It NEVER pulsated. Must’ve traveled for 3 and a half minutes.  Once it got on the line I was standing on it slowed down. Then it went back to the same speed it was first traveling. There was a huge gap between trees. When it passed through that gap it began to shrink rapidly and it was a sufficient size. THATS when I knew I was looking at a UFO.
